Как называется первая книга в серии романов о Гарри Поттере?;What is the title of the first book about Harry Potter?;Гарри Поттер и Философский Камень;Harry Potter and the Philosopher's Stone;Гарри Поттер и Волешбный Контрабас;Harry Potter and the Magical Flute;Гарри Поттер и Тайная Комната;Harry Potter and the Chamber of Secrets;Гарри Поттер и Философский вопрос;Harry Potter and the Philosopher's Question;1
Как называется вторая книга в серии романов о Гарри Поттере?;What is the title of the second book about Harry Potter?;Гарри Поттер и Тайная Комната;Harry Potter and the Chamber of Secrets;Гарри Поттер и Философский Камень;Harry Potter and the Philosopher's Stone;Гарри Поттер и Узник Азкабана;Harry Potter and the Prisoner of Azkaban;Гарри Поттер и Тайные Желания;Harry Potter and the Secret Desires;1
Как называется третья книга в серии романов о Гарри Поттере?;What is the title of the third book about Harry Potter?;Гарри Поттер и Узник Азкабана;Harry Potter and the Prisoner of Azkaban;Гарри Поттер и Тайная Комната;Harry Potter and the Chamber of Secrets;Гарри Поттер и Кубок Огня;Harry Potter and the Goblet of Fire;Гарри Поттер и Узник Инстаграма;Harry Potter and the Prisoner of Instagram;1
Как называется четвертая книга в серии романов о Гарри Поттере?;What is the title of the fourth book about Harry Potter?;Гарри Поттер и Кубок Огня;Harry Potter and the Goblet of Fire;Гарри Поттер и Узник Азкабана;Harry Potter and the Prisoner of Azkaban;Гарри Поттер и Орден Феникса;Harry Potter and the Order of the Phoenix;Гарри Поттер и Кубок Первого Канала;Harry Potter and the Goblet of Water;1
Как называется пятая книга в серии романов о Гарри Поттере?;What is the title of the fifth book about Harry Potter?;Гарри Поттер и Орден Феникса;Harry Potter and the Order of the Phoenix;Гарри Поттер и Кубок Огня;Harry Potter and the Goblet of Fire;Гарри Поттер и Принц-полукровка;Harry Potter and the Half-Blood Prince;Гарри Поттер и Ордер Феликса;Harry Potter and the Dark Side;1
Как называется шестая книга в серии романов о Гарри Поттере?;What is the title of the sixth book about Harry Potter?;Гарри Поттер и Принц-полукровка;Harry Potter and the Half-Blood Prince;Гарри Поттер и Орден Феникса;Harry Potter and the Order of the Phoenix;Гарри Поттер и Дары Смерти;Harry Potter and the Deathly Hallows;Гарри Поттер и Принц Гарри;Harry Potter and the Felix Felixis;1
Как называется седьмая книга в серии романов о Гарри Поттере?;What is the title of the seventh book about Harry Potter?;Гарри Поттер и Дары Смерти;Harry Potter and the Deathly Hallows;Гарри Поттер и Принц-полукровка;Harry Potter and the Half-Blood Prince;Гарри Поттер и Последний Крестраж;Harry Potter and the Last Horcrux;Гарри Поттер и Последняя битва;Harry Potter and the Last Battle;1
Кто автор книг о Гарри Поттере?;"Who is the author of ""Harry Potter""?";Джоан Роулинг;Joanne Rowling;Арабелла Фигг;Arabella Figg;Дайанн Роулинг;Dianne Rowling;Ролинг Стоунз;Rolling Stones;1
Кто главный злодей в книгах о Гарри Поттере?;"Who is the main villain in ""Harry Potter""?";Волан-де-Морт;Voldemort;Северус Снегг;Severus Snape;Люциус Малфой;Lucius Malfoy;Альбус Дамблдор;Albus Dambledore;1
Кто такой Гарри Поттер?;Who is Harry Potter?;волшебник;a wizard;рок-звезда;a rock-star;вампир;a vampire;эльф;an elf;1
Кем были родители Гарри Поттера?;"
Who were Harry Potter's parents?";оба волшебники;both were wizards;мама волшебница, папа - маггл;mother - witch, father - muggle;мама - маггл, папа - волшебник;mother - muggle, father - wizard;оба магглы;both were muggles;2
Какое животное является символом Гриффиндора?;What is the symbol of Gryffindor house?;лев;a lion;змея;a snake;барсук;a badger;орел;an eagle;2
Какое животное является символом Когтеврана?;What is the symbol of Ravenclaw house?;орел;an eagle;лев;a lion;змея;a snake;барсук;a badger;2
Какое животное является символом Пуффендуя?;What is the symbol of Hufflepuff house?;барсук;a badger;орел;an eagle;лев;a lion;змея;a snake;2
Какое животное является символом Слизерина?;What is the symbol of Slytherin house?;змея;a snake;барсук;a badger;орел;an eagle;лев;a lion;2
Какой главный цвет Гриффиндора?;What is the main color of Gryffindor house?;красный;red;зеленый;green;желтый;yellow;синий;blue;2
Какой главный цвет Когтеврана?;What is the main color of Ravenclaw house?;синий;blue;красный;red;зеленый;green;желтый;yellow;2
Какой главный цвет Пуффендуя?;What is the main color of Hufflepuff house?;желтый;yellow;синий;blue;красный;red;зеленый;green;2
Какой главный цвет Слизерина?;What is the main color of Slytherin house?;зеленый;green;желтый;yellow;синий;blue;красный;red;2
 В какой школе учился Гарри Поттер?;"
What is the name of the school where Harry Potter studied?";Хогвартс;Hogwarts;Дурмстранг;Durmstrang ;Шармбатон;Beauxbatons ;Ильверморни;Ilvermorny;2
Как называется главная волшебная спортивная игра?;What is the main magical sport game?;Квиддич;Quidditch;Квоффл;Quaffle;Плюй камни;Gobstones;Волшебные шахматы;Wizard's Chess;2
Сколько игроков в команде по квиддичу?;How many players there are in the quidditch team?;7;7;6;6;11;11;4;4;2
Сколько мячей используется при игре в квиддич?;How many balls are used in a quidditch game?;4;4;1;1;2;2;3;3;2
Как называется мяч для квиддича, который нужно забрасывать в кольцо?;What is the ball which is thrown through the rings in a quidditch game?;Квоффл;Quaffle;Золотой Снитч;Golden Snitch;Бладжер;Bludger;Чейзер;Chaser;2
Как называется мяч для квиддича, который должен поймать ловец?;What ball should be caught by Seeker in a quidditch game?;Золотой Снитч;Golden Snitch;Квоффл;Quaffle;Бладжер;Bludger;Доносчик;Golden Informant;2
Сколько длится игра в квиддич?;What is the duration of a quidditch game?;Пока ловец не поймает золотой снитч;Till the golden snitch is caught by a seeker;90 минут;90 minutes;Вечно;Forever;До 150 очков;Up to 150 points;2
Сколько очков приносит пойманный снитч?;How many points are rewarded for catching the golden snitch?;150;150;3;3;100;100;10;10;2
Сколько очков приносит забитый квоффл?;How many points are rewarded for scoring a quaffle?;10;10;1;1;150;150;3;3;2
Сколько загонщиков в команде по квиддичу?;How many beaters there are in a quidditch team?;2;2;6;6;1;1;3;3;2
Сколько охотников в команде по квиддичу?;How many chasers there are in a quidditch team?;3;3;6;6;1;1;2;2;2
Как называют людей, не обладающих магическими способностями?;How are non-magical people called?;Магглы;Muggles;Дурсли;Dursleys;Фигги;Figgs;Грязнокровки;Mudbloods;2
У кого жил Гарри Поттер до 11 лет?;With who did the Harry Potter live till he turned 11?;У Дурслей;With Dursleys;У Арабеллы Фигг;With Arabella Figg;У Сириуса Блека;With Sirius Black;Он жил в приюте;He lived in an orphanage;2
Какой адрес у дома Дурслей?;What is the address of the Dursleys' house?;Тисовая Улица, 4;Privet Drive, 4;Чаринг Кросс Роуд, 14;Charing Cross Road, 14;Косой Переулок;Diagon Alley;Тотнет-Корт Роуд, 4;Tottenham Court Road, 4;2
Как зовут единственного сына Дурслей?;What is the name of the only Dursleys' son?;Дадли;Dudley;Гойл;Goyle;Невилл;Neville;Гарри;Harry;2
В какой комнате жил Гарри до 11 лет?;In what room did Harry Potter live till he turned 11?;В чулане под лестницей;The Cupboard Under the Stairs;В самой маленькой спальне;In the smallest bedroom;На чердаке;On the attic;В тайной комнате;In the Chamber of Secrects;2
Где работал Вернон Дурсль?;Where did Vernon Dursley work at?;Граннингс;Grunnings;Гринготтс;Gringotts;Министерство;Ministery;Дреллингc;Drillings;2
Кем приходится Мардж семье Дурслей?;Who Marge is to Dursleys?;Она сестра Вернона;Vernon's sister;Она сестра Петунии;Petunia's sister;Она репетитор у Дадли;Dudley's tutor;Она бабушка Дадли;Dudley's grandmother;2
Кем работала Петуния Дурсль?;Who did Petunia work for?;Домохозяйкой;A Housewife;Журналисткой;The journalist;Секретарь;The Secretary;Учитель музыки;The music teacher;2
Кто старше, Дадли или Гарри?;Who of Harry and Dudley is older?;Дадли старше на 1 месяц;Dudley is older for 1 month;Дадли старше на 1 год;Dudley is older for 1 year;Они родились в один день;They are born the same day;Гарри Поттер старше на 1 месяц;Harry is older for 1 month;3
Куда Дадли поехал в свой 11й день рождения?;Where did Dudley celebrate his eleventh birthday?;В зоопарк;to the zoo;В аквапарк;to the aquapark;В цирк;to the Circus;В кафе;to a cafe;2
На каком транспорте студенты добираются в Хогвартс основное время?;What transport is used by students to reach the Hogwartz most of time?;На поезде;Train;На метлах;Broomstick;Через систему летучего пороха;Floo Powder;На машинах;Car;2
С какой платформы отправляется Хогвартс-экспресс?;Which platform is the Hogwartz-express coming from?;платформа 9 и 3/4;platform 9 and three quaters;платформа 9 и 2/3;platform 9 and two third;девятая платформа;ninth platform;десятая платформа;tenth platform;1
Сколько лет длится обучение в школе Хогвартс?;How many years does it take for student to graduate from Hogwartz?;7;7;9 и 3/4;9 and 3/4;11;11;5;5;2
Кто является привидением факультета Гриффиндор?;Who is the ghost of the Gryffindor House?;Сэр Николас де Мимси-Дельфингтон;Sir Nicholas de Mimsy-Porpington;Полная дама;The Fat Lady;Серая дама;The Grey Lady;Толстый монах;Fat Friar;2
Кто является привидением факультета Когтевран?;Who is the ghost of the Ravenclaw House?;Серая дама;The Grey Lady;Полная дама;The Fat Lady;Плакса Миртл;Moaning Myrtle;Толстый монах;Fat Friar;2
Кто является привидением факультета Пуффендуй?;Who is the ghost of the Hufflepuff House?;Толстый монах;Fat Friar;Плакса Миртл;Moaning Myrtle;Лохматый барон;Shaggy Baron;Пивз;Peeves;2
Кто является привидением факультета Слизерин?;Who is the ghost of the Slytherin House?;Кровавый барон ;Bloody Baron;Пивз;Peeves;Сэр Патрик Делэйни-Подмор;Patrick Delaney-Podmore;Сэр Николас де Мимси-Дельфингтон;Sir Nicholas de Mimsy-Porpington;2
Как первокурсники добираются до Хогвартса со станции Хогсмид?;How do first-year students get to Hogwarts from Hogsmeade Station?;На лодках через озеро;on boats across the lake;В каретах;in carriages;Через подземный туннель;through the underground tunnel;На гиппогрифах;on Hippogriffs;2
Что показывает потолок в большом зале Хогвартса?;What does the ceiling show in the Great Hall of Hogwarts?;Небо;the sky;Территорию вокруг Хогвартса;Hogwarts grounds;Матчи по квиддичу;Quiddich games;Кабинет профессора Дамблдора;Dumbledore's office;3
Кто такая Миссис Норрис?;Who is mrs Norris?;Кошка завхоза  Хогвартса Аргуса Филча;The pet cat of Argus Filch;Дама на потрете;Lady from the picture on the 2nd floor;Жаба Невилла Долгопупса;Neville's toad;Жена Чака Норриса;Chuck Norris's wife;2
Как магглы видят Хогвартс?;;"Руины с табличкой ""Вход воспрещен""";;Пустое место;;Пропасть;;Как волшебники, но войти не могут;;4
Во сколько лет волшебникам приходит письмо о зачислении в Хогвартс?;;11;;10;;0;;7;;2
Как называется экзамен для пятикурсников в Хогвартсе?;;СОВ;;ЖАБА;;ЯЩЕР;;ГАВНЭ;;2
Как называется экзамен для семикурсников в Хогвартсе?;;ЖАБА;;СОВ;;ЯЩЕР;;ГАВНЭ;;2
Как звали основателя Гриффиндора?;;Годрик;;Гарри;;Гилдерой;;Гоша;;2
Как звали основательницу Когтеврана?;;Кандида;;Кэти;;Пенелопа;;Елена;;2
Как звали основательницу Пуффендуя?;;Пенелопа;;Кандида;;Хлоя;;Патриция;;2
Как звали основателя Слизерина?;;Салазар;;Змееуст;;Наземникус;;Персивальд;;2
Сколько стоит год обучения в Хогвартсе?;;Бесплатно;;70 галлеонов;;100 галлеонов;;200 евро;;2
Кто из основателей Хогвартса считал, что в школу нельзя принимать маглорожденных?;;Слизерин;;Гриффиндор;;Пуффендуй;;Когтевран;;2
Сколько этажей в Хогвартсе?;;8;7;6;;10;;11;;3
Какой лес находится на территории Хогвартса?;;Запретный Лес;;Королевский Лес Дин;;Лес Утерянных Надежд;;Лес Равновесия;;2
Что находится вокруг территории Хогвартса?;;Горы;;Море;;Леса;;Пустныня;;3
Какой ближайший к Хогвартсу населенный пункт?;;Хогсмид;;Годрикова Впадина;; Оттери-Сент-Кэчпоул?;;Бадли-Бэббертон;;3
Какая башня в Хогвартсе самая высокая?;;Астрономическая;;Южная;;Башня факультета Гриффиндор;;Часовая Башня;;3
С какой башни упал профессор Дамблдор?;;Астрономическая;;Часовая;;Северная;;Западная;;3
С какой башни друзья Чарли Уизли забрали дракончика Норберта, которого глубокой ночью затащили наверх Гарри и Гермиона?;;Астрономическая;;Башня Мага;;Башня трех драконов;;Часовая Башня;;4
Чей портрет закрывает вход в башню Гриффиндора?;;Полной Леди;;Виолетты;;Сыра Кэдогана;;Годрика Гриффиндора;;2
Где впервые поцеловались Гарри Поттер и Джинни Уизли?;;В гостиной Гриффиндора;;На поле для Квиддича;;В Норе;;В пустом классе;;3
Где впервые поцеловались Рон Уизли и Лаванда Браун?;;В гостиной Гриффиндора;;В раздевалке, рядом с полем для Квиддича;;В поезде;;В пустом коридоре;;3
Какого пароля никогда не было на входе в гостиную Гриффиндора?;;Чистая кровь;;Капут Драконис;;Подлый трус;;Трезвенность;;3
Как попасть в гостиную башни Когтевран?;;Ответить на загадку;;Надеть диадему Кандиды Когтевран;;Найти диадему Кандиды Когтевран;;Решить в уме математическую задачу;;3
Бронзовый молоток какой формы висит у двери в гостиную Когтевран?;;Орел;;Голубь;;Гиппогриф;;Фестрал;;3
Чья статуя находится в гостиной Когтевран?;;Кандиды Когтевран;;Елены Когтевран;;Мерлина;;Серой Леди;;3
Что такое Белая Гробница?;;Место захоронения Альбуса Дамблдора;;Место захоронения родителей Гарри Поттера;;Место захоронения Северуса Снегга;;Место захоронения жертв Битвы за Хогвартс;;3
Кто заведует библиотекой в Хогвартсе?; ;Мадам Пинс;;Мадам Трюк;;Мадам Помфри;;Мадам Подмор;;3
Как студент Хогвартса может попасть в Запретную секцию библиотеки?;;Показать разрешение учителя;;Только под присмотром учителя;;Необходимо надеть защитную мантию;;Никак;;3
Какие книги Альбус Дамблдор изъял из библиотеки?;;О крестражах;;Об ядовитых зельях;;О Салазаре Слизерине;;О приворотных зельях;;3
Какая из этих секций есть в библиотеке Хогвартса?;;Невидимости;;Неуязвимости;;Неведения;;Неторопливости;;3
Кто хозяйка больничного крыла в Хогвартсе?;;Мадам Помфри;;Мадам Трюк;;Мадам Пинс;;Миссис Фигг;;3
Что находится недалеко от гостиной Пуффендуя?;;Кухня;;Кабинет Защиты от Темных Искусств;;Класс Астрономии;;Выручай-комната;;3
Где находятся комнаты факультета Слизерин?;;В подземельях;;В запретном лесу;;В башне Слизерина;;На 4м этаже Восточного крыла замка;;3
Какой пароль был в гостиную Слизерина, когда Гарри и Рон проникли туда в образе Крэбба и Гойла? ;;"""Чистая кровь""";;"""Магия - сила!""";;"""Долой грязнокровок!""";;"""За Темного лорда!""";;3
Какую дополнительную привилегию  получил Гарри, став капитаном команды Гриффиндора по квиддичу?;;Возможность пользоваться ванной старост;;Возможность пропускать 1 любой урок в неделю;;Возможность пойти на Святочный бал;;Возможность проходить в гостиные других факультетов;;3
Какой пароль был в ванную старост, когда ей пользовался Гарри  Поттер во время Турнира Трех Волшебников?;;Сосновая свежесть;;Лимонный щербет;;Кофейный аромат;;Апельсиноваый сок;;3
Где находятся огромные песочные часы, которые отсчитывают очки факультетов в Хогвартсе?;;В вестибюле;;В Большом Зале;;В кабинете директора;;в Школьном дворе;;3
Где проходили занятия Отряда Дамблдора?;;В Выручай-комнате;;В библиотеке;;В Визжащей хижине;;В Запретном лесу;;3
Кто уничтожил Выручай-комнату?;;Винсент Крэбб;;Грэгори Гойл;;Драко Малфой;;Гарри Поттер;;4
Какое заклинание уничтожило Выручай-комнату?;;Адское пламя;;Взрывающее;;Бомбарда Максима;;Диффиндо;;3
Какую форму имеет кабинет директора в Хогвартсе?;;Круглую;;Квадратную;;Прямоугольную;;Шестиугольную;;3
Кому нужно сказать пароль, чтобы попасть в кабинет директора в Хогвартсе?;;Каменной горгулье;;Вепрю с картины;;Самому директору;;Сэру Кэдогану;;3
Как звали феникса Альбуса Дамблдора?;;Фоукс;;Финист;;Финик;;Федор;;2
Кто не смог попасть в кабинет директора в Хогвартсе, хотя был назначен на эту должность министром Магии?;;Долорес Амбридж;;Люциус Малфой;;Северус Снегг;;Альбус Дамблдор;;3
Кто преподавал Гарри Поттеру Защиту от Темных искусств на первом курсе в Хогвартсе?;;Квиррел;;Локонс;;Люпин;;Трюк;;2
Кто преподавал Гарри Поттеру Защиту от Темных искусств на втором курсе в Хогвартсе?;;Локонс;;Квиррел;;Люпин;;Тонкс;;2
Кто преподавал Гарри Поттеру Защиту от Темных искусств на третьем курсе в Хогвартсе?;;Люпин;;Грюм;;Локонс;;Петтигрю;;2
Кто преподавал Гарри Поттеру Защиту от Темных искусств на пятом курсе в Хогвартсе?;;Амбридж;;Флоренц;;Грюм;;Кингсли;;2
Чем был украшен кабинет Защиты от Темных Искусств при профессоре Локонсе?;;Портретами Локонса;;Тарелочками с котятами;;Африканскими масками;;Уловителями врагов;;2
Когда Гарри и Рон впервые попали в кабинет Северуса Снегга?;;Когда угнали летающий форд, чтобы добраться до школы;;После того, как Малфой рассказал, что видел Гарри в Хогсмиде, хотя ему было запрещено туда ходить;;Когда из кабинета пропали некоторые ингридиенты;;После урока Зельеварения, на котором оба не смогли справиться с заданием;;4
Кто украл ингридиенты для Оборотного Зелья из кабинета Снегга, когда Гарри учился на 2м курсе?;;Гермиона Грейнджер;;Гарри Поттер;;Барти Крауч Младший;;Барти Крауч;;4
Где проходили занятия по окклюменции?;;В кабинете Снегга;;В кабинете директора;;В Выручай-комнате;;В Визжащей Хижине;;3
Что висит на стене в кабинете у завхоза Филча?;;Цепи и кандалы, начищеннеы до блеска;;Плакат с простыми заклинаниями для сквибов;;Портет Долорес Амбридж;;Список главных нарушителей Хогвартса;;3
Куда можно попасть из коридора Одноглазой ведьмы?;;"""Сладкое королевство""";;"""Три метлы""";;"""Кабанья голова""";;Кафе мадам Паддифут;;4
Что скрывает вход в кухню Хогвартса? ;;Натюрморт с фруктами;;Портрет домовика;;Рыцарь с кастрюлей на голове;;Заклинание Невидимости;;2
Как открыть вход-картину на кухню Хогвартса?;;Пощекотать грушу ;;Пощекотать яблоко;;Ткнуть палочкой в банан;;Ткнуть палочкой в сливу;;2
Кто комментировал матчи по квиддичу в Хогвартсе, когда Гарри учился на 3 курсе?;;Ли Джордан;;Пенелопа Кристалл;;Минерва МакГонагалл;;Полумна Лавгуд;;3
Кто был заместителем Альбуса Дамблдора в Хогвартсе?;;Минерва МакГонагалл;;Северус Снегг;;Филиус Флитвик;;Аргус Филч;;3
Какиие персонажи не обитают в замке Хогвартс?;;Ручные големы;;Призраки;;Домовые эльфы;;Волшебный портреты;;2
Кого нет среди персонала Хогвартса?;;Преподавателя физкультуры;;Лесничего;;Библиотекаря;;Целителя;;2
Где живут школьные совы в Хогвартсе?;;В совятне;;В Запретном Лесу;;у Хагрида;;В астрономичекой башне;;2
Какое условие ставил Северус Снегг ученикам, которые хотели учиться зельям на уровне ЖАБА?;;"Оценка ""Превосходно"" на СОВ по Зельеварению";;"Не ниже оценки ""Выше ожидаемого"" на СОВ по Зельеварению";;"Оценка ""Превосходно"" на СОВ по всем предметам";;"Не ниже оценки ""Выше ожидаемого"" на СОВ по всем предметам";;3
"Кто преподавал ""Историю магии"" в Хогвартсе во времена Гарри Поттера?";;Привидение;;Домой эльф;;Сквиб;;Анимаг;;3
